Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
MAGIC FARM,2025,Amalia Ulman,93,New Releases & Restorations,"Now Playing, Director In Attendance",USA/Argentina,In English and Spanish and French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//magic-farm,MAGIC FARM,"In Amalia Ulman’s (EL PLANETA) sophomore feature, a disorganized American television crew for a show that chronicles bizarre cultural trends heads to Argentina to find a rabbit-suit-wearing musician. When they arrive and realize they are in the wrong country, they decide to fabricate a new story using the locals as their subjects. As the crew, led by show host Edna (Chloë Sevigny), fumble their way through their plan, unexpected connections blossom. MAGIC FARM is a hilariously biting commentary on ethnographic exploitation, with Ulman cleverly reminding the audience that try as they might to integrate, Edna and her crew are just tourists. Siskel Film Center exclusive. Dialogue: Q&A with director Amalia Ulman following the Friday, May 2, 6:00PM screening (limited tickets remaining) and Saturday, May 3, 6:00PM screening."
LOVE HOTEL,1985,Shinji Somai,88,New Releases & Restorations,"Now Playing, 2K Digital Restoration",Japan,In Japanese with English subtitles | Format: 2K Digital Restoration,https://www.siskelfilmcenter.org//love-hotel,LOVE HOTEL,"In Shinji Sômai’s tale of two broken people, a call girl named Yumi and a grieving man named Tetsuro have a violent rendezvous in a cheap hotel. Years later, they meet again and begin a strange affair. An unnerving work of erotica, Sômai explores how two souls are intrinsically linked. With long takes and a sparing use of music, LOVE HOTEL is a haunting, voyeuristic viewing experience. As Ryusuke Hamaguchi (DRIVE MY CAR) declared, “For anyone who wants to see a movie that has the power to change and sustain your life, I urge you to see Sômai’s films.” Content consideration: contains scenes of sexual violence."
YOUNG HEARTS,2024,Anthony Schatteman,99,New Releases & Restorations,"Now Playing, Exclusive",Belgium/Netherlands,In Dutch and French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//young-hearts,YOUNG HEARTS,"14-year-old Elias feels attracted to his new teenage neighbor Alexander. Soon he realizes that he’s truly in love for the first time. The interactions with his friends and family bring more questions than answers. Confused by his burgeoning feelings, Elias tries to sort out his inner chaos to prove that he is worth Alexander’s heart. (Strand Releasing)"
DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,107,Doc10,Post-Screening Discussion,Ukraine,In English and Ukrainian with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-2000-meters-andriivka,DOC10: 2000 METERS TO ANDRIIVKA,"As enthralling and haunting as war cinema classics ALL QUIET ON THE WESTERN FRONT and APOCALYPSE NOW, the new film from the Oscar-winning director of 20 DAYS IN MARIUPOL plunges the viewer into the trenches of Eastern Ukraine. It is 2023. Amid Ukraine’s brutalizing counteroffensive, the film follows Ukrainian platoons as they traverse a thin corridor of decimated forest, fighting for every inch of their land and creeping ever closer—2000 meters, 1000 meters, 500 meters—to retake the town of Andriivka. Mstyslav Chernov skillfully balances heart-stopping helmet-cam combat footage with profoundly intimate moments with the soldiers, revealing their vulnerability and humanity. Still as timely as ever, with stakes that couldn’t be higher for the Ukrainian people, or for Chernov himself. Winner of a Sundance Directing Award, 2000 METERS TO ANDRIIKVA is “gut wrenching” (Toronto Star), “pensively devastating” (Variety), and “the most unbearably intense war documentary you’ll ever see” (The Daily Beast)"
DOC10: MISTRESS DISPELLER,2024,Elizabeth Lo,94,Doc10,Post-Screening Discussion,China/USA,In Mandarin with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-mistress-dispeller,DOC10: MISTRESS DISPELLER,"One of the most acclaimed documentaries of the year and winner of nearly a dozen festival awards, this deeply fascinating family portrait follows the emotional journey of Mrs. Li, an upper-middle-class Chinese woman who learns her husband is having an affair. Desperate to save her marriage, Mrs. Li hires a “mistress dispeller” —a crafty young female professional named Wang Zhenxi—to repair her love life. Unfolding in almost real time, MISTRESS DISPELLER follows “Teacher” Wang as she clandestinely befriends both the cheating husband and the mistress, all part of her intricate master plan to restore the family’s equilibrium. “A spellbindingly intimate tale” (POV Magazine), this exquisitely photographed docu-drama is “a profound and searching panorama of loneliness and partnership,” (IndieWire) and a “highly effective [and] delicately realized examination of marriage in modern China (Screen Daily)."
FORGETTING VIETNAM,2016,Trinh T. Minh-ha,90,Shadows of War Lecture Series,,USA/South Korea/Germany,In Vietnamese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//forgetting-vietnam,FORGETTING VIETNAM,"Highly influential as a feminist and postcolonial theorist, Trinh T. Minh-ha’s experimental films challenge narrative and cinematic conventions while raising critical social issues. FORGETTING VIETNAM combines footage from 1995 and 2012, and is a mediation on the legacy of Vietnam in contemporary society framed by two ancient myths: that Vietnam was formed when two fighting dragons fell into the South China Sea; and that the origin of Viet people traces back to the union between a fairy and a dragon."
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,92,,,USA,In English,https://www.siskelfilmcenter.org//FVNMAS25,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL","Featuring the work of 54 School of the Art Institute of Chicago graduate and undergraduate students from the class of 2025, this festival includes unique works of animation, documentary, sound, narrative, as well as feature-length projects by the next generation of moving image and sound artists. The 2025 festival is produced by the Department of Exhibitions in collaboration with the Department of Film, Video, New Media, and Animation, coordinated by Emily Eddy, curated by Amy Beste, with support from graduate assistants Lucas Gomez-Doyle and Hailey Tomanicek. Learn more and view full program details here."
LILLY,2024,Rachel Feldman,93,New Releases & Restorations,"Opens 5/9, Exclusive",USA,In English | Format: Digital,https://www.siskelfilmcenter.org//lilly,LILLY,"Based on the true story of Lilly Ledbetter, LILLY stars Academy Award nominee Patricia Clarkson as the Alabama tire factory supervisor who, after working 20 years in an environment plagued by harassment for the sake of the best paycheck in the county, discovers she’s been paid half of what the men with the same job have been earning. Outraged, Lilly takes her fight for equal pay all to the Supreme Court, Congress, and eventually The White House. A testament to resilience, with Clarkson’s powerful performance at its core, LILLY illuminates the impact a single person can have on a nation. Siskel Film Center exclusive."
APRIL,2025,Dea Kulumbegashvili,134,New Releases & Restorations,"Opens 5/9, Exclusive",Georgia/Italy/France,In Georgian with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//april,APRIL,"Nina is a stoic OBGYN, whose patients are often desperate for her arrival: expectant mothers experiencing labor emergencies in the hospital where she works, and women—sometimes young girls—who call her for clandestine abortions in their homes. When a baby dies under her care after a difficult delivery, the rumors of Nina’s illegal services threaten the hospital, and Nina’s mission to give women agency. The first 10 minutes of Dea Kulumbegashvili’s (BEGINNING) second feature are a shock to the system, setting in motion an all-consuming cinematic experience. Overwhelming and extraordinary, APRIL is a singular and haunting vision. Siskel Film Center exclusive."
PICNIC AT HANGING ROCK,1975,Peter Weir,115,New Releases & Restorations,"Opens 5/16, 4K Digital Restoration",Australia,In English and French with English subtitles | Format: 4K Digital Restoraiton,https://www.siskelfilmcenter.org//picnic-hanging-rock,PICNIC AT HANGING ROCK,"On Valentine's Day, 1900, a group of schoolgirls are treated to a field trip in the Australian countryside, during which three girls and their teacher vanish without a trace. PICNIC AT HANGING ROCK is an unsettling watch, equal parts sensual and threatening, filled with secrets director Peter Weir refuses to answer. Of the film, The New York Times critic Vincent Canby wrote, “Horror need not always be a dismembered corpse...it may be a warm sunny day.” As mystifying as it was upon its release 50 years ago, this genre-defying Australian New Wave classic is all the more hypnotic with this stunning 4K restoration. Siskel Film Center exclusive."
A MAN AND A WOMAN,1966,Claude Lelouch,102,New Releases & Restorations,"Opens 5/16, 4K Digital Restoration",France,In English and French and Spanish with English subtitles | Format: 4K Digital Restoration,https://www.siskelfilmcenter.org//man-and-woman,A MAN AND A WOMAN,"In Claude Lelouch’s swooning romance (The New Yorker’s Pauline Kael declared it “the most efficacious make-out movie”), widower Jean-Louis and widow Anne meet at their children’s school, and a complicated love affair begins. Shot in black and white and color, and featuring music by Francis Lai (you’ll recognize it instantly), A MAN AND A WOMAN won the Palme d’Or at Cannes, the Academy Award for Best International Film, and was a global hit, playing in cinemas in New York for a record-setting 65 weeks. Nearly six decades later, we’re swooning anew with this 4K restoration supervised by the director. Siskel Film Center exclusive."
OPENING NIGHT: SLANTED,2025,Amy Wang,102,Asian American Showcase,Director In Attendance,USA,In English and Mandarin with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//slanted,OPENING NIGHT: SLANTED,"As a high school senior, Joan Huang is determined to achieve what she believes is the pinnacle of acceptance: being crowned Prom Queen. But as she chases this ideal, Joan makes a drastic choice that sets her on a collision course with identity, belonging, and self-worth. SLANTED is a bold exploration of race, assimilation, and the complex path toward embracing who you truly are. Dialogue: Director Amy Wang in attendance."
THIRD ACT,2025,Tadashi Nakamura,91,Asian American Showcase,Director In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//third-act,THIRD ACT,"Generations of artists call Robert A. Nakamura “the godfather of Asian American media.” Tadashi Nakamura calls him dad. What begins as a film about his father’s career takes a turn with a Parkinson’s Disease diagnosis, evolving into an exploration on activism, grief, and fatherhood. Dialogue: Director Tadashi Nakamura in attendance."
"ONE CITY, MANY PERSPECTIVES: AAPI CHICAGO SHORTS",2025,Various directors,100,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//one-city,"ONE CITY, MANY PERSPECTIVES: AAPI CHICAGO SHORTS","Whether from Chicago or about Chicago, these shorts by AAPI filmmakers with a local connection display the range and quality the Windy City is known for. WHAT I AM TODAY: MAA MAA DEI (pictured, dir. Ian Szetho, 19 min.) documents Jessica “Jaye” Fong’s rise to award-winning restaurateur. In HE (dir. Yihui Hu, 24 min.), Jing He’s life changes when she learns her father has another son. In APART (dir. Sukwon Jeong, 19 min.), Sukjin travels around the world to close an emotional distance. Margot discovers something unexpected when she finds a video her mother left behind in HEY KIDDO (dir. Melissa Kong, 8 min.). THRUST, EPISODE 1 (dir. Noah Causey, 11 min.) gives a behind-the-scenes look into zany and absurd BFA programs. In A SIMPLE ASK (dir. Nadya Naumaan, 9 min.), Nida inadvertently summons an ancestor when they ask Allah for assistance. And in CHECK PLEASE (dir. Shane Chung, 10 min.), a fight over who gets to pay the bill turns deadly. Dialogue: Select filmmakers in attendance."
CAN I GET A WITNESS?,2024,Ann Marie Fleming,110,Asian American Showcase,,Canada,In English | Format: Digital,https://www.siskelfilmcenter.org//witness,CAN I GET A WITNESS?,"In the not-too-distant future, we’ve solved all the world’s problems: mitigated climate change, eradicated poverty, achieved true trans-species equality. There’s just one catch: humans have to end life at 50, and teenage artists have to document it. CAN I GET A WITNESS?, starring Sandra Oh, Keira Jang, and Joel Oulette, tells the story of a world where huge sacrifices are made to maintain life on Earth."
YEAR OF THE CAT,2025,Tony Nguyen,98,Asian American Showcase,Director In Attendance,USA/Vietnam,In English and Vietnamese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//year-cat,YEAR OF THE CAT,"Crafted as an investigative home movie, YEAR OF THE CAT documents an extraordinary quest to solve the mystery of Tony Nguyen’s father, who was lost in the Fall of Saigon 50 years ago. Weaving together humor and heartache, Nguyen delves into his family’s history, exploring the emotional lengths we go to in confronting the past—and the possibility of healing as we reclaim and transform our futures. Dialogue: Director Tony Nguyen in attendance."
MARINIG AT MAKITA AKO [HEAR & SEE ME]: FILIPINO AMERICAN SHORTS,2025,Various directors,117,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//filipino-american-shorts,MARINIG AT MAKITA AKO [HEAR & SEE ME]: FILIPINO AMERICAN SHORTS,"Witness these distinctive expressions of the Filipino-American experience, and enjoy one of the great pleasures of cinema: recognizing oneself in others. In LOLA (pictured, dir. Grace Hanna, 11 min.) a science prodigy tries to save a memory. In THE GROCERY LIST SHOW: SEAFOOD CITY (dir. Emily Strong, 13 min.), host Chrissy Camba showcases Chicago’s Filipino-American culinary scene. Comedian Alia Rasul reconnects with her dad in 15 WAYS MY DAD ALMOST DIED (dir. Sura Mallouh, 19 min.). A mother and daughter struggle to find belonging in MYSELF WHEN I AM REAL (dir. Angeline Gragasin, 18 min.). BALIK/BAYAN (dir. Paula Kiley, 8 min.) chronicles the life of balikbayan box company founder Manny Paez. In GET YOUR STORY STRAIGHT (dir. Myra Aquino, 16 min.), a murder charge reunites four siblings. Estrella Ravelo Alamar, co-founder of the Filipino American Historical Society of Chicago, is remembered in HER WISH (dirs. Royce Pateras, Marvin Payton Jr., 15 min.). In PAINTED ONES (dir. Julia Nacario, 5 min.), tattoo artist La’on Canabe unlocks Filipino histories through ink. And in DESYNC (dir. Minerva Marie Navasca, 12 min.), a young Filipina filmmaker reenacts a painful memory. Dialogue: Select filmmakers in attendance."
