Movie_ID,anyAwesome
193,0
85,0
168,0
131,0
160,0
196,0
289,0
165,1
76,1
252,0
8,0
83,1
55,0
158,1
216,1
156,1
90,1
97,0
177,0
41,1
126,1
149,1
72,0
64,1
234,0
262,0
261,0
207,0
239,0
134,0
257,0
192,0
133,0
254,0
224,0
258,0
123,1
136,1
65,0
80,0
198,0
53,0
110,1
188,0
6,1
228,1
219,0
109,1
91,0
226,0
217,0
11,0
235,0
78,0
122,1
229,0
121,0
57,1
181,0
99,1
69,1
157,0
221,0
189,0
143,0
128,0
62,0
253,0
220,0
75,0
163,0
137,0
100,0
194,0
49,0
184,0
10,1
54,0
108,0
233,0
140,1
51,0
60,1
77,1
206,0
267,1
173,0
179,0
144,0
124,1
81,1
242,0
180,0
200,0
63,1
148,1
101,0
244,0
236,0
79,1
154,0
208,0
167,1
265,0
288,1
59,0
92,1
169,0
232,0
175,1
47,0
73,1
43,0
88,0
95,1
105,1
182,0
195,0
102,0
251,0
67,0
138,0
56,0
89,1
237,0
166,1
199,1
174,1
132,1
243,0
238,0
111,0
201,0
70,0
247,0
113,0
263,0
129,0
139,0
231,0
150,1
260,0
52,0
7,1
96,0
147,0
159,0
106,1
211,1
94,0
215,1
172,0
264,0
130,0
142,1
183,0
98,0
240,0
230,0
58,1
